State,ZIP Code,Registration Date,Vehicle Make,Vehicle Model,Vehicle Model Year,Drivetrain Type,Vehicle GVWR Class,Vehicle Category,Vehicle Count,DMV Snapshot ID,DMV Snapshot (Date),Latest DMV Snapshot Flag
CT,6614,9/1/21,TESLA,MODEL 3,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (7/12/2023),TRUE
CT,6416,9/1/21,TESLA,MODEL 3,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (7/12/2023),TRUE
CT,6039,9/1/21,TESLA,MODEL 3,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (7/12/2023),TRUE
CT,6851,9/1/21,TESLA,MODEL 3,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (7/12/2023),TRUE
CT,6612,9/1/21,TESLA,MODEL 3,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (7/12/2023),TRUE
CT,6611,9/1/21,TESLA,MODEL 3,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (7/12/2023),TRUE
CT,6029,9/1/21,TESLA,MODEL 3,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (7/12/2023),TRUE
CT,6410,9/1/21,TESLA,MODEL 3,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (7/12/2023),TRUE
CT,6468,9/1/21,TESLA,MODEL 3,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (7/12/2023),TRUE
CT,6776,9/1/21,TESLA,MODEL 3,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (7/12/2023),TRUE
CT,6518,9/1/21,TESLA,MODEL 3,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (7/12/2023),TRUE
CT,6878,9/1/21,TESLA,MODEL 3,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (7/12/2023),TRUE
