Timestamp (EST),baseline.out.electricity.bath_fan.energy_consumption.kwh,baseline.out.electricity.ceiling_fan.energy_consumption.kwh,baseline.out.electricity.clothes_dryer.energy_consumption.kwh,baseline.out.electricity.clothes_washer.energy_consumption.kwh,baseline.out.electricity.cooking_range.energy_consumption.kwh,baseline.out.electricity.cooling.energy_consumption.kwh,baseline.out.electricity.dishwasher.energy_consumption.kwh,baseline.out.electricity.ext_holiday-light.energy_consumption.kwh,baseline.out.electricity.exterior_lighting.energy_consumption.kwh,baseline.out.electricity.extra_refrigerator.energy_consumption.kwh,baseline.out.electricity.fans_cooling.energy_consumption.kwh,baseline.out.electricity.fans_heating.energy_consumption.kwh,baseline.out.electricity.freezer.energy_consumption.kwh,baseline.out.electricity.garage_lighting.energy_consumption.kwh,baseline.out.electricity.heating.energy_consumption.kwh,baseline.out.electricity.heating_supplement.energy_consumption.kwh,baseline.out.electricity.hot_tub-heater.energy_consumption.kwh,baseline.out.electricity.hot_tub-pump.energy_consumption.kwh,baseline.out.electricity.house_fan.energy_consumption.kwh,baseline.out.electricity.interior_lighting.energy_consumption.kwh,baseline.out.electricity.plug_loads.energy_consumption.kwh,baseline.out.electricity.pool_heater.energy_consumption.kwh,baseline.out.electricity.pool_pump.energy_consumption.kwh,baseline.out.electricity.pumps_cooling.energy_consumption.kwh,baseline.out.electricity.pumps_heating.energy_consumption.kwh,baseline.out.electricity.pv.energy_consumption.kwh,baseline.out.electricity.range_fan.energy_consumption.kwh,baseline.out.electricity.recirc_pump.energy_consumption.kwh,baseline.out.electricity.refrigerator.energy_consumption.kwh,baseline.out.electricity.vehicle.energy_consumption.kwh,baseline.out.electricity.water_systems.energy_consumption.kwh,baseline.out.electricity.well_pump.energy_consumption.kwh,baseline.out.fuel-oil.heating.energy_consumption.kwh,baseline.out.fuel-oil.water_systems.energy_consumption.kwh,baseline.out.natural-gas.clothes_dryer.energy_consumption.kwh,baseline.out.natural-gas.cooking_range.energy_consumption.kwh,baseline.out.natural-gas.fireplace.energy_consumption.kwh,baseline.out.natural-gas.grill.energy_consumption.kwh,baseline.out.natural-gas.heating.energy_consumption.kwh,baseline.out.natural-gas.hot_tub-heater.energy_consumption.kwh,baseline.out.natural-gas.lighting.energy_consumption.kwh,baseline.out.natural-gas.pool_heater.energy_consumption.kwh,baseline.out.natural-gas.water_systems.energy_consumption.kwh,baseline.out.propane.clothes_dryer.energy_consumption.kwh,baseline.out.propane.cooking_range.energy_consumption.kwh,baseline.out.propane.heating.energy_consumption.kwh,baseline.out.propane.water_systems.energy_consumption.kwh,baseline.out.wood.heating.energy_consumption.kwh
5:15 AM,1018582.648,2949499.493,3728409.737,507674.4478,12319621.06,49905040.91,332767.1874,0,6410168.815,7128111.678,10144425.46,31537103.56,4849033.036,571440.5422,120766078.7,6510435.119,4223754.21,5503877.11,0,34869229.25,147044980.3,79478.21266,7226730.502,272607.215,556475.163,-279458.8834,455168.9729,0,36608390.03,0,30082780.03,1779401.565,572366869.7,36850471.77,2196019.579,16864116.38,2090346.277,872126.4731,1421856356,3063817.092,226892.9966,2907329.957,187085357.7,123841.0246,2394480.226,87937838.41,9720138.596,0
5:30 AM,928322.7304,2951402.726,4632264.765,622531.1458,14852680.83,51270532.23,432641.0092,0,6410168.815,7128111.678,10346946.71,31423084.72,4849033.036,571440.5422,119510606.6,6421716.11,4223754.21,5503877.11,0,34893385.62,147078141.1,79478.21266,7226730.502,277340.6896,537983.8108,-410938.8866,812886.8386,0,36608390.03,0,34782569.09,1779401.565,568572555,41001658.14,2742482.534,20395473.97,2090346.277,872126.4731,1412023187,3063817.092,226892.9966,2907329.957,207068446.4,162633.1787,2933880.575,87426676.34,10859224.95,0
5:45 AM,928322.7304,3048349.66,5780245.064,759370.1006,17593473.52,53121999.57,562167.2712,0,6410168.815,7128111.678,10677371.89,31367124.16,4849033.036,571440.5422,119754984.4,6421249.814,4223754.21,5503877.11,0,38866913.64,148032049.5,79478.21266,7226730.502,279972.4413,536534.7,-653399.2771,812886.8386,0,36608390.03,0,39539699.69,1779401.565,568997258.8,44782600.09,3382148.899,24270894.62,2090346.277,872126.4731,1412284065,3063817.092,226892.9966,2907329.957,228119095.9,203202.9207,3470419.29,87586692.78,11934190.17,0
6:00 AM,928322.7304,3043830.573,7187239.839,912963.5857,20456984.54,55275077.77,724434.5754,0,6410168.815,7128111.678,11037655.74,31216781.89,4849033.036,571440.5422,119030955.9,6421797.818,4223754.21,5503877.11,0,38477056.8,148031864.8,79478.21266,7226730.502,282961.3247,532501.314,-967426.3188,812886.8386,0,36608390.03,0,44198808.18,1779401.565,565542156,48602463.66,4123133.762,28268909.3,2090346.277,872126.4731,1404416522,3063817.092,226892.9966,2907329.957,247360799.3,249796.1261,4058186.819,87097479.25,12896004.11,0
6:15 AM,928322.7304,3407632.707,8805468.671,1084217.405,23010397.61,58433450.28,904623.5165,0,7243297.93,7509330.015,11605735.51,31531222.3,5108361.12,645710.6226,120628054.8,6587888.344,2420998.908,3154748.077,0,58882159.17,157345956.1,135360.0657,12307910.34,279088.8414,554744.2478,-1358209.016,812886.8386,0,38566220.29,0,48355621.64,2352046.388,571675971.2,51548728.12,5092446.023,31724392.55,2763058.946,1527433.175,1417172226,1756138.607,299911.4218,4951500.05,261305319.5,292250.3239,4580573.449,87883100.15,13728706.96,0
6:30 AM,583253.694,3383818.504,10586147.65,1238142.132,24999957.45,61305634.76,1118755.697,0,7243297.93,7509330.015,12059541.5,31240115.22,5108361.12,645710.6226,119047871.6,6445524.302,2420998.908,3154748.077,0,57451559.65,156989372,135360.0657,12307910.34,285534.1824,534038.1933,-1809675.568,985738.7353,0,38566220.29,0,51842557.78,2352046.388,564508863.8,53793204.44,6169546.714,34471286.09,2763058.946,1527433.175,1401512569,1756138.607,299911.4218,4951500.05,273365209.5,364470.4216,4959167.332,86765899.01,14412825.65,0
6:45 AM,583253.694,3468793,12594695.54,1385445.653,26372122.87,64168711.5,1333604.201,0,7243297.93,7509330.015,12545813.74,31014585.43,5108361.12,645710.6226,118485370.9,6387726.072,2420998.908,3154748.077,0,60711516.53,158488793.4,135360.0657,12307910.34,288318.7518,530746.9621,-2336705.041,985738.7353,0,38566220.29,0,54444235.02,2352046.388,561759865.3,55025012.02,7289898.758,36452263.98,2763058.946,1527433.175,1394694048,1756138.607,299911.4218,4951500.05,281162665.5,431714.3371,5230949.503,86359026.44,14777609.33,0
7:00 AM,583253.694,3431541.443,14684063.59,1555473.944,27283210.98,67214640.03,1547356.446,0,7243297.93,7509330.015,13030476.57,30725158.28,5108361.12,645710.6226,117237091.5,6311311.09,2420998.908,3154748.077,0,58628143.98,157901739.3,135360.0657,12307910.34,291308.8704,525333.6048,-2945645.831,985738.7353,0,38566220.29,0,56399970.45,2352046.388,555852262.6,55865536.27,8535147.912,37785690.56,2763058.946,1527433.175,1382030619,1756138.607,299911.4218,4951500.05,284531020.7,484938.6758,5390931.271,85467486.61,14925503.92,0
7:15 AM,583253.694,3308738.398,16907056.16,1724712.584,27605881.98,70419965.77,1761165.024,0,6270779.269,7757457.546,13641079.18,30895716.24,5277125.441,559014.5297,118226964.4,6348827.472,1684444.605,2194961.08,0,71148214.71,165859742.2,250551.8199,22781972.81,290196.2566,548013.0655,-3639512.989,985738.7353,0,39840327.94,0,57845744.11,2559737.622,559227655.8,56219353.4,9779857.32,38160363.06,3007043.556,1724999.66,1391466553,1221858.544,326394.3065,9165238.969,286454262.1,546078.8926,5412367.055,85976722.06,15168462.68,0
7:30 AM,317128.8266,3280213.004,19013439.89,1861043.843,27353828.35,74102911.66,1963038.012,0,6270779.269,7757457.546,14181942.54,30454206.19,5277125.441,559014.5297,116018659.4,6089177.937,1684444.605,2194961.08,0,69134399.76,165041699.2,250551.8199,22781972.81,296000.3547,526571.9406,-4403240.493,1053268.174,0,39840327.94,0,58706859.5,2559737.622,548555359.7,55973033.24,10969970.07,37774466.94,3007043.556,1724999.66,1369902400,1221858.544,326394.3065,9165238.969,285716179.7,624936.7106,5345633.436,84476595.78,15225400.27,0
