,state_num,ev,pct_car_buyers,car_buyers,pct_boomers,boomers,Under 5,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,+85 years,median_hh_inc,inc_norm,boomer_saturation,ev_per_c,ev_per_1k_b,ev_saturation,zip,kids,20s,30s,40s,50s,60s,70s,80s
4966,3.0,147.0,67.8,44135.0,13.7,8893.0,7.1,7.7,8.3,7.6,7.6,8.0,7.5,7.0,6.5,6.2,5.6,5.2,4.8,3.9,2.9,1.9,1.0,1.1,67918.0,0.16303361128735402,0.20149541180469016,0.003330689928628073,16.527996402068812,0.0,77521,0.322,0.156,0.145,0.127,0.10800000000000001,0.087,0.048,0.021
4967,3.0,130.0,65.8,18182.0,12.7,3510.0,7.1,8.4,9.1,8.3,5.5,5.4,7.3,7.8,7.3,7.1,6.4,5.5,4.8,4.0,2.9,1.6,0.8,0.7,127339.0,2.3372560684730246,0.1930480695193048,0.007149928500714993,37.02648818000569,0.0,77523,0.342,0.109,0.151,0.144,0.11900000000000001,0.08800000000000001,0.045,0.015
4968,3.0,36.0,64.0,22614.0,11.1,3934.0,7.5,8.5,9.1,9.1,7.8,7.8,6.9,6.5,6.3,6.2,5.6,5.4,4.6,3.5,2.2,1.4,0.9,0.6,63155.0,-0.011245205352812713,0.17396303175024322,0.0015919342000530645,9.148665819567979,0.0,77530,0.36,0.156,0.134,0.125,0.11,0.081,0.036000000000000004,0.015
4969,3.0,21.0,69.2,10837.0,15.1,2366.0,7.3,8.0,7.2,6.9,7.5,8.5,7.6,6.9,5.9,5.7,5.3,5.6,6.0,4.4,2.8,2.2,1.2,1.1,63169.0,-0.01073294345212778,0.21832610501061178,0.0019378056657746608,8.871989860583017,0.0,77531,0.308,0.16,0.145,0.11600000000000002,0.10899999999999999,0.10400000000000001,0.05,0.023
4970,3.0,72.0,68.5,23771.0,16.7,5796.0,7.0,7.5,8.3,7.4,5.8,6.2,7.1,6.9,6.3,6.5,5.6,6.2,6.1,5.1,3.6,2.2,1.3,0.9,78489.0,0.5498279364402414,0.24382651129527574,0.003028900761431997,12.420217353803691,0.0,77532,0.315,0.12,0.14,0.128,0.11800000000000001,0.11199999999999999,0.05800000000000001,0.022000000000000002
4971,3.0,1.0,66.7,654.0,15.3,150.0,6.9,10.1,8.6,7.3,5.1,5.3,6.2,7.4,5.7,6.0,6.1,7.1,4.7,3.6,3.9,3.7,1.3,0.8,44632.0,-0.6890042900947418,0.22935779816513763,0.0015290519877675841,6.622516556291391,0.0,77533,0.33299999999999996,0.10399999999999998,0.136,0.11699999999999999,0.132,0.083,0.076,0.021
4972,3.0,9.0,68.5,2055.0,18.0,540.0,5.8,7.5,8.8,8.7,5.5,4.6,5.8,6.6,7.2,6.9,5.4,6.4,6.3,4.5,4.3,2.7,1.6,1.4,100000.0,1.3369183468426404,0.26277372262773724,0.004379562043795621,16.635859519408502,0.0,77534,0.315,0.10099999999999999,0.12399999999999999,0.14100000000000001,0.11800000000000001,0.10800000000000001,0.07,0.03
4973,3.0,53.0,72.5,26458.0,16.0,5844.0,5.7,6.7,7.2,6.5,6.3,7.1,7.5,7.5,7.0,6.8,6.6,6.4,6.0,4.7,3.6,2.2,1.1,0.8,58813.0,-0.17011957483666826,0.22087837327084436,0.00200317484314763,9.067579127459368,0.0,77535,0.275,0.13399999999999998,0.15,0.138,0.13,0.107,0.05800000000000001,0.019000000000000003
4974,3.0,87.0,70.7,23807.0,18.6,6259.0,5.6,6.7,8.1,7.6,6.1,6.0,6.5,6.9,7.0,6.2,6.2,6.1,6.0,5.3,4.0,2.7,1.6,1.4,77163.0,0.5013094164182257,0.2629058680220103,0.0036543873650606963,13.89776357827476,0.0,77536,0.293,0.121,0.134,0.132,0.12300000000000001,0.113,0.067,0.03
4975,3.0,1.0,71.2,576.0,23.7,192.0,6.6,6.7,7.2,7.2,6.1,3.3,4.9,5.1,4.4,8.0,7.7,7.4,6.1,4.8,5.4,3.8,1.7,3.6,57375.0,-0.2227361900641635,0.3333333333333333,0.001736111111111111,5.181347150259067,0.0,77538,0.288,0.09399999999999999,0.1,0.124,0.15100000000000002,0.10899999999999999,0.092,0.053
4976,3.0,152.0,70.7,34058.0,16.0,7697.0,7.0,7.1,7.3,6.7,6.0,7.0,7.6,7.8,6.5,6.2,5.8,6.4,6.0,4.8,3.4,2.2,1.2,0.9,73285.0,0.3594128699284993,0.225996828938869,0.004462974925127723,19.745388412574695,0.0,77539,0.293,0.13,0.154,0.127,0.122,0.10800000000000001,0.055999999999999994,0.021
4977,3.0,29.0,70.8,11648.0,19.0,3120.0,6.1,6.7,7.7,7.4,6.1,6.5,6.0,6.0,5.6,6.2,6.7,6.8,7.3,5.8,4.0,2.6,1.3,1.1,50180.0,-0.4860022168804557,0.26785714285714285,0.002489697802197802,9.291893623838513,0.0,77541,0.29200000000000004,0.126,0.12,0.11800000000000001,0.135,0.131,0.066,0.024000000000000004
4978,3.0,99.0,65.2,17310.0,10.1,2683.0,6.8,7.8,9.4,9.2,7.3,6.1,6.4,7.5,7.7,7.9,6.4,5.4,4.3,3.5,2.1,1.0,0.6,0.4,81135.0,0.6466454356696937,0.15499711149624495,0.005719237435008666,36.885245901639344,0.0,77545,0.348,0.13399999999999998,0.139,0.15600000000000003,0.11800000000000001,0.078,0.031,0.01
4979,2.0,1.0,70.7,38658.0,19.6,10710.0,5.2,7.0,8.0,7.8,5.6,4.7,5.4,6.2,6.6,7.0,6.9,7.2,6.6,5.1,4.2,2.7,1.8,1.8,105406.0,1.534724620778551,0.2770448548812665,2.5867866935692483e-05,0.09336196433572963,0.0,77546,0.293,0.10300000000000001,0.11600000000000002,0.136,0.14100000000000001,0.11699999999999999,0.069,0.036000000000000004
4980,3.0,528.0,70.7,38658.0,19.6,10710.0,5.2,7.0,8.0,7.8,5.6,4.7,5.4,6.2,6.6,7.0,6.9,7.2,6.6,5.1,4.2,2.7,1.8,1.8,105406.0,1.534724620778551,0.2770448548812665,0.01365823374204563,49.29511716926524,0.0,77546,0.293,0.10300000000000001,0.11600000000000002,0.136,0.14100000000000001,0.11699999999999999,0.069,0.036000000000000004
4981,3.0,10.0,64.8,6234.0,13.9,1336.0,6.5,7.7,10.0,9.4,7.9,7.1,6.0,6.5,5.8,6.5,5.5,5.2,5.0,4.1,2.8,1.8,1.0,1.1,43341.0,-0.7362421553650453,0.2143086300930382,0.0016041065126724415,7.479431563201197,0.0,77547,0.35200000000000004,0.15,0.125,0.12300000000000001,0.107,0.091,0.046,0.021
4982,3.0,71.0,78.9,19120.0,23.1,5609.0,4.8,4.9,5.0,5.2,7.6,8.2,6.8,6.2,5.5,5.2,6.1,7.9,8.1,7.0,4.8,2.9,1.9,1.9,42179.0,-0.7787598931218948,0.2933577405857741,0.003713389121338912,12.65597147950089,0.0,77550,0.21099999999999994,0.158,0.13,0.107,0.14,0.151,0.077,0.038
4983,3.0,56.0,77.6,17591.0,24.2,5493.0,5.0,5.2,5.5,5.7,6.2,7.0,6.9,5.9,5.4,5.6,6.4,7.7,8.3,7.2,5.1,3.0,2.2,1.6,52222.0,-0.4112851596519819,0.3122619521346143,0.0031834460803820135,10.192937750273025,0.0,77551,0.22400000000000006,0.132,0.128,0.11,0.14100000000000001,0.155,0.081,0.038000000000000006
