,time,time_num,hour,kWh,kWh_pv,kWh_ev,everything
76,19.25,19.25,20,123.76273857712125,-5.496632799957571,0.0,118.26610577716369
77,19.5,19.5,20,123.84711834569046,-2.620313538645554,0.0,121.22680480704491
78,19.75,19.75,20,123.21007755826453,-0.6570060178499568,0.0,122.55307154041458
79,20.0,20.0,20,122.37394154780382,-0.14710670268384668,0.0,122.22683484511998
80,20.25,20.25,21,121.79861649047754,0.0,0.0,121.79861649047754
81,20.5,20.5,21,118.47989229246397,0.0,89.99999999999993,208.4798922924639
82,20.75,20.75,21,117.7268105444572,0.0,89.99999999999993,207.72681054445712
83,21.0,21.0,21,115.94143824622145,0.0,89.99999999999993,205.94143824622137
84,21.25,21.25,22,114.8487266042303,0.0,89.99999999999993,204.84872660423022
85,21.5,21.5,22,102.9030985800413,0.0,89.99999999999993,192.90309858004122
86,21.75,21.75,22,101.36203026421177,0.0,89.99999999999993,191.36203026421168
87,22.0,22.0,22,98.46876869433572,0.0,89.99999999999993,188.46876869433567
88,22.25,22.25,23,96.64438602320689,0.0,89.99999999999993,186.64438602320683
89,22.5,22.5,23,86.5203553031687,0.0,89.99999999999993,176.52035530316863
90,22.75,22.75,23,84.68810990452346,0.0,89.99999999999993,174.6881099045234
91,23.0,23.0,23,82.20403686665236,0.0,89.99999999999993,172.2040368666523
92,23.25,23.25,24,80.47593274412495,0.0,89.99999999999993,170.47593274412486
93,23.5,23.5,24,74.50714909196806,0.0,89.99999999999993,164.507149091968
94,23.75,23.75,24,73.12176304368505,0.0,89.99999999999993,163.12176304368498
95,24.0,24.0,24,71.53397522816793,0.0,89.99999999999993,161.53397522816786
