,bd,hour,time,end_use,category,energy
141,False,2,01:30:00,cooling,HVAC,1.3308270350453693
142,False,2,01:30:00,cooling_fans_pumps,HVAC,0.2012584149629261
143,False,2,01:30:00,dishwasher,Kitchen,0.010677042941154746
144,False,2,01:30:00,freezer,Kitchen,0.19966636906272056
145,False,2,01:30:00,heating,HVAC,1.8999213091619338
146,False,2,01:30:00,heating_fans_pumps,HVAC,1.2133475990263274
147,False,2,01:30:00,heating_hp_bkup,HVAC,0.09679040061377962
148,False,2,01:30:00,hot_tub_heater,Hot Tub,0.0903138056838077
149,False,2,01:30:00,hot_tub_pump,Hot Tub,0.08945005020265367
150,False,2,01:30:00,hot_water,HVAC,0.48070933576319924
151,False,2,01:30:00,lighting_exterior,Lighting,0.15544392474272006
152,False,2,01:30:00,lighting_garage,Lighting,0.03411824330691672
153,False,2,01:30:00,lighting_interior,Lighting,0.5150604081112492
154,False,2,01:30:00,mech_vent,HVAC,0.03775915530950291
155,False,2,01:30:00,plug_loads,Plugs,4.79108378333899
156,False,2,01:30:00,pool_heater,Pool,0.002316899365887712
157,False,2,01:30:00,pool_pump,Pool,0.044670917635420075
158,False,2,01:30:00,range_oven,Kitchen,0.0344451957710484
159,False,2,01:30:00,refrigerator,Kitchen,1.3565724671488817
160,False,2,01:30:00,well_pump,Kitchen,0.04987161727587017
161,False,2,01:45:00,ceiling_fan,HVAC,0.05299404031296145
162,False,2,01:45:00,clothes_dryer,Laundry,0.08769479811671825
163,False,2,01:45:00,clothes_washer,Laundry,0.002711314314734368
164,False,2,01:45:00,cooling,HVAC,1.3008436921389404
165,False,2,01:45:00,cooling_fans_pumps,HVAC,0.19506590877863156
166,False,2,01:45:00,dishwasher,Kitchen,0.009930978563247995
167,False,2,01:45:00,freezer,Kitchen,0.19966636906272056
168,False,2,01:45:00,heating,HVAC,1.9184899898347239
169,False,2,01:45:00,heating_fans_pumps,HVAC,1.2237942678930407
170,False,2,01:45:00,heating_hp_bkup,HVAC,0.09817495272911969
171,False,2,01:45:00,hot_tub_heater,Hot Tub,0.0903138056838077
172,False,2,01:45:00,hot_tub_pump,Hot Tub,0.08945005020265367
173,False,2,01:45:00,hot_water,HVAC,0.45138073247370947
174,False,2,01:45:00,lighting_exterior,Lighting,0.15544392474272006
175,False,2,01:45:00,lighting_garage,Lighting,0.03411824330691672
176,False,2,01:45:00,lighting_interior,Lighting,0.5142646552074825
177,False,2,01:45:00,mech_vent,HVAC,0.03775915530950291
178,False,2,01:45:00,plug_loads,Plugs,4.788114746620858
179,False,2,01:45:00,pool_heater,Pool,0.002316899365887712
180,False,2,01:45:00,pool_pump,Pool,0.044670917635420075
181,False,2,01:45:00,range_oven,Kitchen,0.0343540183080821
182,False,2,01:45:00,refrigerator,Kitchen,1.3565724671488817
183,False,2,01:45:00,well_pump,Kitchen,0.04987161727587017
184,False,3,02:00:00,ceiling_fan,HVAC,0.052879098772409976
185,False,3,02:00:00,clothes_dryer,Laundry,0.07458016964706342
186,False,3,02:00:00,clothes_washer,Laundry,0.0024742136315549206
187,False,3,02:00:00,cooling,HVAC,1.262403872764224
188,False,3,02:00:00,cooling_fans_pumps,HVAC,0.18757369412789615
189,False,3,02:00:00,dishwasher,Kitchen,0.009142394162223951
190,False,3,02:00:00,freezer,Kitchen,0.19966636906272056
191,False,3,02:00:00,heating,HVAC,1.9341959338471744
192,False,3,02:00:00,heating_fans_pumps,HVAC,1.2350847579113633
193,False,3,02:00:00,heating_hp_bkup,HVAC,0.09912836359389056
194,False,3,02:00:00,hot_tub_heater,Hot Tub,0.0903138056838077
195,False,3,02:00:00,hot_tub_pump,Hot Tub,0.08945005020265367
196,False,3,02:00:00,hot_water,HVAC,0.426504162182069
197,False,3,02:00:00,lighting_exterior,Lighting,0.15544392474272006
198,False,3,02:00:00,lighting_garage,Lighting,0.03411824330691672
199,False,3,02:00:00,lighting_interior,Lighting,0.5139656402643136
200,False,3,02:00:00,mech_vent,HVAC,0.03775915530950291
201,False,3,02:00:00,plug_loads,Plugs,4.7871231364743485
202,False,3,02:00:00,pool_heater,Pool,0.002316899365887712
203,False,3,02:00:00,pool_pump,Pool,0.044670917635420075
